s,x,y,yaw,curvature,csv_speed,curve_speed,reference_speed
19.500000000,19.444454025,-2.191090325,-0.013700544,-0.000001281,3.357659808,44.692739623,3.357659808
19.750000000,19.694430566,-2.194515065,-0.013700492,-0.000000158,3.367701247,44.717834465,3.367701247
20.000000000,19.944407100,-2.197940357,-0.013702256,-0.000000237,3.377224651,44.716071645,3.377224651
20.250000000,20.194383629,-2.201365978,-0.013701110,-0.000000986,3.386319130,44.699323738,3.386319130
20.500000000,20.444360171,-2.204790697,-0.013699791,0.000000400,3.394936453,44.712412334,3.394936453
20.750000000,20.694336709,-2.208215659,-0.013701993,0.000000445,3.403180720,44.711410704,3.403180720
21.000000000,20.944313235,-2.211641480,-0.013701508,-0.000001200,3.410990306,44.694559635,3.410990306
21.250000000,21.194289777,-2.215066199,-0.013700239,-0.000001079,3.418465600,44.697261694,3.418465600
21.500000000,21.444266312,-2.218491385,-0.013702014,-0.000000686,3.425552308,44.706023088,3.425552308
21.750000000,21.694242841,-2.221916992,-0.013701886,-0.000000702,3.432331304,44.705674727,3.432331304
22.000000000,21.944219377,-2.225342113,-0.013702595,0.000002706,3.438771463,44.660981291,3.438771463
22.250000000,22.194195902,-2.228768075,-0.013702622,0.000016641,3.444926040,44.353832836,3.444926040
22.500000000,22.444172437,-2.232193210,-0.013700880,0.000050430,3.388876128,43.634636866,3.388161707
22.750000000,22.694148974,-2.235618301,-0.013694609,0.000102327,3.237227170,42.595117898,3.237227170
23.000000000,22.944125552,-2.239040301,-0.013667688,0.000153739,3.085872328,41.635259058,3.085872328
23.250000000,23.194102273,-2.242451932,-0.013610717,0.000185343,2.934864600,41.076449038,2.934864600
23.500000000,23.444079240,-2.245845449,-0.013538683,0.000186639,2.784284164,41.054019114,2.784284164
23.750000000,23.694056449,-2.249221066,-0.013480472,0.000155603,2.634137554,41.601659946,2.634137554
24.000000000,23.944033810,-2.252585481,-0.013451658,0.000102198,2.484483140,42.597600784,2.484483140
24.250000000,24.194011213,-2.255946693,-0.013444041,0.000048390,2.335382710,43.677067151,2.335382710
24.500000000,24.443988625,-2.259307299,-0.013445356,0.000012887,2.186902444,44.435959671,2.186902444
24.750000000,24.693966019,-2.262669168,-0.013448548,-0.000001199,2.039141002,44.694581346,2.039141002
25.000000000,24.943943409,-2.266031370,-0.013449631,-0.000002147,1.892194215,44.673436743,1.892194215
25.250000000,25.193920797,-2.269393781,-0.013450283,0.000000566,1.912763496,44.708713666,1.912763496
25.500000000,25.443898183,-2.272756309,-0.013448413,0.000002626,2.064600028,44.662759633,2.064600028
25.750000000,25.693875583,-2.276117784,-0.013446351,0.000004141,2.210848585,44.629058626,2.210848585
26.000000000,25.943852982,-2.279479282,-0.013446139,0.000004502,2.346838349,44.621029073,2.346838349
26.250000000,26.193830384,-2.282840651,-0.013445475,0.000004149,2.468240784,44.628863071,2.468240784
26.500000000,26.443807788,-2.286201817,-0.013444087,0.000004512,2.580800433,44.620818516,2.580800433
26.750000000,26.693785198,-2.289562492,-0.013443354,0.000005259,2.682699882,44.604218512,2.682699882
27.000000000,26.943762607,-2.292923291,-0.013441036,0.000006619,2.775374558,44.574075531,2.775374558
27.250000000,27.193740034,-2.296282808,-0.013440175,0.000007219,2.860251575,44.560798457,2.860251575
27.500000000,27.443717448,-2.299643177,-0.013438291,0.000006833,2.938001132,44.569352892,2.938001132
27.750000000,27.693694887,-2.303001752,-0.013434722,0.000007009,3.009862766,44.565458027,3.009862766
28.000000000,27.943672326,-2.306360336,-0.013434670,0.000006938,3.076684543,44.567017294,3.076684543
28.250000000,28.193649766,-2.309718884,-0.013432638,0.000006368,3.138606817,44.579641319,3.138606817
28.500000000,28.443627218,-2.313076453,-0.013431051,0.000006272,3.196462840,44.581764396,3.196462840
28.750000000,28.693604668,-2.316434208,-0.013430069,0.000005012,3.251120233,44.609709953,3.251120233
29.000000000,28.943582127,-2.319791286,-0.013427024,0.000003129,3.301215886,44.651551576,3.301215886
29.250000000,29.193559597,-2.323147518,-0.013426688,0.000001538,3.319974808,44.687002549,3.319974808
29.500000000,29.443537059,-2.326504428,-0.013428091,-0.000003928,3.181044075,44.633791235,3.181044075
29.750000000,29.693514520,-2.329861362,-0.013427775,-0.000011476,3.029800020,44.466938124,3.029800020
30.000000000,29.943491983,-2.333218114,-0.013429499,-0.000015991,2.878961355,44.368032501,2.878961355
30.250000000,30.193469432,-2.336575910,-0.013437413,-0.000018537,2.728529178,44.312533100,2.728529178
30.500000000,30.443446843,-2.339936618,-0.013444988,-0.000019336,2.578556097,44.295169048,2.578556097
30.750000000,30.693424241,-2.343298201,-0.013449767,-0.000015155,2.429100375,44.386282250,2.429100375
31.000000000,30.943401619,-2.346661299,-0.013452442,-0.000008369,2.472080076,44.535398519,2.472080076
31.250000000,31.193379000,-2.350024219,-0.013453172,-0.000003667,2.587244612,44.639596039,2.587244612
31.500000000,31.443356373,-2.353387682,-0.013451629,-0.000000301,2.691091306,44.714627280,2.691091306
31.750000000,31.693333764,-2.356749831,-0.013451694,0.000001235,2.785523271,44.693780473,2.785523271
32.000000000,31.943311137,-2.360113326,-0.013452227,0.000000523,2.871809902,44.709666775,2.871809902
32.250000000,32.193288524,-2.363475741,-0.013450735,0.000000037,2.950923963,44.720538991,2.950923963
32.500000000,32.443265907,-2.366838491,-0.013451793,-0.000000154,3.024160349,44.717911984,3.024160349
32.750000000,32.693243287,-2.370201435,-0.013451700,-0.000000797,3.092178235,44.703550107,3.092178235
33.000000000,32.943220670,-2.373564138,-0.013451531,-0.000000507,3.155119894,44.710028715,3.155119894
33.250000000,33.193198052,-2.376926998,-0.013452775,-0.000000116,3.224302859,44.718755339,3.224302859
33.500000000,33.443175427,-2.380290323,-0.013452179,-0.000000845,3.295140790,44.702476788,3.295140790
33.750000000,33.693152812,-2.383652885,-0.013451616,-0.000001047,3.361496463,44.697970915,3.361496463
34.000000000,33.943130191,-2.387015928,-0.013452168,-0.000000636,3.423392389,44.707154101,3.423392389
34.250000000,34.193107573,-2.390378766,-0.013453176,-0.000000642,3.481703091,44.707002305,3.481703091
34.500000000,34.443084945,-2.393742313,-0.013453748,-0.000000879,3.536226168,44.701715288,3.536226168
34.750000000,34.693062322,-2.397105437,-0.013452795,-0.000000617,3.587846258,44.707574098,3.587846258
35.000000000,34.943039701,-2.400468508,-0.013452606,0.000000082,3.636352835,44.719531912,3.636352835
35.250000000,35.193017080,-2.403831537,-0.013453376,0.000000032,3.682248996,44.720633333,3.682248996
35.500000000,35.442994453,-2.407194993,-0.013453510,-0.000000618,3.725840906,44.707546048,3.725840906
35.750000000,35.692971831,-2.410558089,-0.013453210,-0.000000221,3.766866784,44.716423147,3.766866784
36.000000000,35.942949207,-2.413921395,-0.013453252,0.000000927,3.805913595,44.700655978,3.805913595
36.250000000,36.192926585,-2.417284512,-0.013453694,0.000000855,3.843088608,44.702249885,3.843088608
36.500000000,36.442903957,-2.420648039,-0.013452840,0.000000165,3.878264546,44.717665831,3.878264546
36.750000000,36.692881341,-2.424010729,-0.013451729,0.000000009,3.885945494,44.721154830,3.877034153
37.000000000,36.942858720,-2.427373701,-0.013452852,0.000000149,3.777776140,44.718017603,3.745850214
37.250000000,37.192836096,-2.430736952,-0.013453197,0.000001182,3.625372841,44.694961224,3.609902190
37.500000000,37.442813474,-2.434100096,-0.013453727,0.000002660,3.473228206,44.661990456,3.468629964
37.750000000,37.692790846,-2.437463612,-0.013452434,0.000002412,3.321354215,44.667528250,3.321354215
38.000000000,37.942768233,-2.440826110,-0.013449182,0.000002190,3.169818522,44.672467178,3.169818522
38.250000000,38.192745627,-2.444188000,-0.013448749,0.000003100,3.018612799,44.652198209,3.018612799
38.500000000,38.442723016,-2.447550282,-0.013451270,0.000001419,2.867783024,44.689656672,2.867783024
38.750000000,38.692700394,-2.450913433,-0.013450178,-0.000000974,2.717389657,44.699593799,2.717389657
39.000000000,38.942677790,-2.454275168,-0.013448232,-0.000000194,2.567456088,44.717026098,2.567456088
39.250000000,39.192655180,-2.457637346,-0.013449835,0.000001154,2.418040524,44.695583558,2.418040524
39.500000000,39.442632566,-2.460999883,-0.013450531,0.000000329,2.269206902,44.714006367,2.269206902
39.750000000,39.692609952,-2.464362409,-0.013449973,-0.000000646,2.121028263,44.706930648,2.121028263
40.000000000,39.942587341,-2.467724666,-0.013448591,-0.000000532,1.973053521,44.709464628,1.973053521
40.250000000,40.192564736,-2.471086501,-0.013448997,0.000000144,1.933444947,44.718145084,1.933444947
40.500000000,40.442542123,-2.474448962,-0.013450684,0.000000341,2.152309337,44.713730907,2.118539441
40.750000000,40.692519507,-2.477811641,-0.013451012,-0.000000506,2.347367075,44.710040356,2.288713473
41.000000000,40.942496891,-2.481174265,-0.013449132,0.000000219,2.516568114,44.716474254,2.447081805
41.250000000,41.192474288,-2.484536004,-0.013448578,0.000002047,2.665508113,44.675662803,2.595806110
41.500000000,41.442451676,-2.487898352,-0.013450275,0.000001821,2.798761061,44.680705440,2.736459275
41.750000000,41.692429061,-2.491260939,-0.013448859,0.000001158,2.920548987,44.695491058,2.870228103
42.000000000,41.942406459,-2.494622579,-0.013447720,0.000001889,3.031945564,44.679174897,2.998034250
42.250000000,42.192383851,-2.497984597,-0.013447873,0.000002034,3.133305851,44.675943635,3.120610415
42.500000000,42.442361248,-2.501346312,-0.013446943,0.000001841,3.227153062,44.680259905,3.227153062
42.750000000,42.692338647,-2.504707865,-0.013447187,0.000002958,3.313883622,44.655353872,3.313883622
43.000000000,42.942316042,-2.508069704,-0.013446862,0.000003948,3.394566514,44.633336790,3.394566514
43.250000000,43.192293443,-2.511431094,-0.013445116,0.000004059,3.469736963,44.630880042,3.469736963
43.500000000,43.442270850,-2.514792059,-0.013443081,0.000004207,3.540237322,44.627580088,3.540237322
43.750000000,43.692248265,-2.518152432,-0.013441865,0.000004534,3.606073015,44.620315968,3.606073015
44.000000000,43.942225680,-2.521512789,-0.013442119,0.000003857,3.668264883,44.635363854,3.668264883
44.250000000,44.192203093,-2.524873289,-0.013441412,0.000002743,3.726639814,44.660148276,3.726639814
44.500000000,44.442180513,-2.528233293,-0.013439230,0.000003618,3.781749098,44.640683987,3.781749098
44.750000000,44.692157940,-2.531592702,-0.013439324,0.000004806,3.834020677,44.614275870,3.834020677
45.000000000,44.942135359,-2.534952753,-0.013438763,0.000004313,3.883363640,44.625235761,3.883363640
45.250000000,45.192112791,-2.538311881,-0.013436176,0.000005170,3.930112155,44.606190804,3.930112155
45.500000000,45.442090227,-2.541670639,-0.013435340,0.000014434,3.974598542,44.402048626,3.974598542
45.750000000,45.692067664,-2.545029349,-0.013434521,0.000053566,4.016958325,43.569656769,4.016958325
46.000000000,45.942045106,-2.548387697,-0.013431108,0.000159061,4.057057406,41.539555414,4.057057406
46.250000000,46.192022566,-2.551744701,-0.013410894,0.000349360,4.095291050,38.499149268,4.095291050
46.500000000,46.442000144,-2.555092943,-0.013330130,0.000605960,4.131795328,35.289676222,4.131795328
46.750000000,46.691978142,-2.558409568,-0.013143733,0.000901156,4.166668476,32.434416270,4.166668476
47.000000000,46.941956950,-2.561664620,-0.012852729,0.001211757,4.199941646,30.070888130,4.199941646
47.250000000,47.191936835,-2.564835756,-0.012498000,0.001624590,4.231635292,27.604778148,4.231635292
47.500000000,47.441917886,-2.567913458,-0.012091111,0.001932363,4.261970635,26.115968214,4.261970635
47.750000000,47.691900265,-2.570881163,-0.011620521,0.001811693,4.291034940,26.670492029,4.291034940
48.000000000,47.941884100,-2.573723587,-0.010791867,0.001546509,4.318874450,28.024790777,4.318874450
48.250000000,48.191871026,-2.576276991,-0.010373687,0.001300048,4.426107888,29.488083292,4.404846935
48.500000000,48.441857153,-2.578910337,-0.010447809,0.001015360,4.332348884,31.502043707,4.332348884
48.750000000,48.691843729,-2.581500801,-0.010275029,0.001257897,4.230726973,29.762055016,4.230726973
49.000000000,48.941830751,-2.584047761,-0.010186482,0.002365753,4.355099826,24.376641895,4.318454669
49.250000000,49.191817772,-2.586593953,-0.009687507,0.004081203,4.380583009,19.839545078,4.380583009
49.500000000,49.441807177,-2.588891438,-0.008333303,0.005871404,4.401696547,17.060519531,4.401696547
49.750000000,49.691800101,-2.590760554,-0.006573811,0.007211746,4.438620236,15.606202418,4.398861039
50.000000000,49.941796033,-2.592178317,-0.003946016,0.008100528,4.283687481,14.824556394,4.283687481
50.250000000,50.191795324,-2.592733554,-0.001836991,0.008465356,4.404207428,14.536054058,4.370352210
